name,address,city,state,country,visited,date_visited,notes
Alien Treats,101 S Eola Dr #105,Orlando,FL,US,Y,2024-11-03,This was a new dessert bar that just opened up a few months ago. We had forgotten our purchase of candy there as we left it while enjoying their delicious ice cream milkshake. They refunded us and made sure we were attended to. It was the best customer service I had ever received from anywhere. I felt welcome.
Macondo Coffee Roasters,205 Aragon Ave,Coral Gables,FL,US,Y,2024-11-10,"The service here was subpar and the coffee tepid. It's a shame because the food was good, the music at 10am on a Sunday morning was welcoming and the location was fine. This place used to be a tea house, but the prices for the food make it more profitable for the current company. Despite the settling atmosphere I don't think we'll be visiting again."
Miami International Airport,2100 NW 42nd Ave,Miami,FL,US,Y,2024-11-12,I added this location because this instance describes the first time R met my father. They got along well and she spoke to him with her limited Spanish. My dad responded but likewise spoke to her in English.
Embassy Suites - Hilton Boca Raton,661 NW 53rd St,Boca Raton,FL,US,Y,2024-11-16,This was the location of the 22nd Annual Turkey Bowl. I performed well at this tournament only erring after a mental defeat from not knowing how to checkmate with a knight and bishop on my penultimate round. I was strengthened through R's support as she brought snacks and coffee along with her warm company. She made me feel invincible!
the seed. Coffee + Juice Bar,1449 Yamato Rd Ste 1,Boca Raton,FL,US,Y,2024-11-16,"The coffee was fantastic. It's too bad it's offset by the blank face on the employees, the colder-than-iced-coffee service and the lack of salt and pepper. That last one is a blunder, and sure enough won't be re-visiting."
Jersey Mike's Subs,1200 Yamato Rd,Boca Raton,FL,US,Y,2024-11-16,"This was a regular Jersey Mike's that offered delicious and filling sandwiches. It did not disappoint, but I was a bit peeved they wouldn't take my coupon."
BOHEMIAN LATIN GRILL,1199 E Commercial Blvd,Oakland Park,FL,US,Y,2024-11-16,"I loved every second of this visit. R and I danced Salsa, enjoyed the burritos and ice cream and received fantastic service. I will not hesitate to come and visit them again! It reminded R of her bohemian days in San Diego."
Evelyn Greer Park,8200 Sw 124th St,Miami,FL,US,Y,2024-11-23,"Diego's Tournament was filled with many stronger player than I was used to a couple of years ago. Despite R's everlasting support, I did not perform well at the tournament. I attribute this state to fatigue and a lack of rest and recovery from the previous week's tournament along with the Friday Night Lights the night before. It was an instructive experience."
The Muffin Tin Restaurant,12655 S Dixie Hwy,Miami,FL,US,Y,2024-11-23,The service was slow and the food was not worth the $40 we paid. We could have made this ourselves for a fraction of the price. We regretted our decision to spend so much when we could have ate at the nearby fast food restaurants. We had to take our food to go because we ran out of time. It took twenty minutes for the food to come out... We will not return.
Wild Fork,10015 NW 41st St,Doral,FL,US,Y,2024-11-24,"Wild Fork is my favorite meat market and makes the 25-minute drive worth it. However, they did not have oxtail for the third time. This was disconcerting... We will visit again but if they do not have the oxtails we will have to visit the nearby meat market as well."
Walmart Supercenter,8651 NW 13th Terrace,Doral,FL,US,Y,2024-11-24,Walmart was full as usual on a Sunday evening. The crowd made a difference and provided a sufficient amount of anxiety. Not having a grocery list was unsettling. From here on R and I downloaded Anylist and began collaboration.
Subway,8686 NW 13th Terrace,Doral,FL,US,Y,2024-11-24,"This Subway did not have cheddar cheese for my steak sandwich. It felt pointless coming here but R still enjoyed the meal. I was not full and, in my fasted, hungry state, ate more food upon arriving home. Subway doesn't fill me up because it's bread with small amounts of protein."
Publix Super Market at Plaza de Leon,106 Ponce de Leon,Coral Gables,FL,US,Y,2024-11-24,"I liked visiting this Publix by my residence. The only complaint is the prices, but that applies to all Publix supermarkets nowadays."
Medium Cool Cocktail Lounge,1690 Collins Ave #2,Miami Beach,FL,US,Y,2024-11-27,"R loved the atmosphere and vibe of the lounge. I like visiting this place to dance, although I don't do so anymore. It feels like a getaway place where worries evaporate into the beat of the music."
Salt & Straw,749 Lincoln Rd,Miami Beach,FL,US,Y,2024-11-27,"This was when I first picked up Bengali and began speaking it in public with the phrase, ""Ami ekta mohila!"" (I am a woman!) She loved the ice cream, date and time spent this evening."
Sedano's Supermarket,4803 SW 8th St,Miami,FL,US,Y,2024-11-28,We visited the only open supermarket on Thanksgiving. There weren't many people and we were able to find what we were looking for even if the prices were a bit higher than usual compared to Wal-mart.
Tropical Park,7900 Sw 40th St,Miami,FL,US,Y,2024-11-30,We came to play racquetball at the tennis courts. There were too many teenagers due to the Christmas Wonderland Holiday Amusement Park. I was turned off and so was R at the lack of indoor courts. It's a nice park during the day.
Flagler Park Plaza,8219 W Flagler St,Miami,FL,US,Y,2024-11-30,"This place was fantastic. We got to got to Burlington's, Uptown Buffet and Dollar Tree all in the same night. It was also my first time visiting Burlington's and Dollar Tree. We will re-visit again."
Phillips Park,90 Menores Ave,Coral Gables,FL,US,Y,2024-12-1,We were able to play racquetball in peace. The only other people in the park were playing soccer. There were no people playing pickleball. It was refreshing...
